universe,symbol,name,market,source,as_of
KOSDAQ150,000250.KQ,Sam Chun Dang Pharm,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,005290.KQ,Dongjin Semichem,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,006730.KQ,Seobu T&D,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,007390.KQ,Nature Cell,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,009520.KQ,Posco M-Tech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,014620.KQ,Sung Kwang Bend,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,015750.KQ,Sungwoo Hitech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,018290.KQ,VT GMP,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,025320.KQ,Synopex,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,025900.KQ,Dongwha Enterprise,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,025980.KQ,Ananti,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,028300.KQ,HLB,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,030520.KQ,Hancom,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,031980.KQ,PSK,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,032190.KQ,Daou Data,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,032500.KQ,KMW,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,033100.KQ,Cheryong Electric,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,033500.KQ,Dongsung Finetec,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,035760.KQ,CJ ENM,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,035900.KQ,JYP Entertainment,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,036540.KQ,SFA Semicon,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,036620.KQ,Gamsung,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,036830.KQ,Soulbrain,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,036930.KQ,Jusung Engineering,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,036810.KQ,Fine Semitech,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,039030.KQ,EO Technics,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,039200.KQ,Oscotec,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,041190.KQ,Woori Tech Investment,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,041510.KQ,S.M. Entertainment Co,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,046890.KQ,Seoul Semiconductor,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,048410.KQ,Hyundai IBT,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,050890.KQ,Solid,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,052400.KQ,Kona I,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,053030.KQ,Binex,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,053800.KQ,Ahnlab,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,056080.KQ,Yujin Robot,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,056190.KQ,SFA Engineering,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,058470.KQ,Leeno Industrial,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,058610.KQ,SPG,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,059090.KQ,MiCo Ltd,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,060250.KQ,NHN KCP,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,060280.KQ,Curexo,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
KOSDAQ150,060370.KQ,LS Marine Solution,KOSDAQ,Investing.com KOSDAQ150,2026-06-04
