universe,symbol,name,market,source,as_of
KOSPI200,005930.KS,삼성전자,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000660.KS,SK하이닉스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,402340.KS,SK스퀘어,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,005380.KS,현대차,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,009150.KS,삼성전기,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,373220.KS,LG에너지솔루션,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,028260.KS,삼성물산,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,032830.KS,삼성생명,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,329180.KS,HD현대중공업,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,012330.KS,현대모비스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000270.KS,기아,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,034020.KS,두산에너빌리티,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,207940.KS,삼성바이오로직스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,105560.KS,KB금융,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,012450.KS,한화에어로스페이스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,066570.KS,LG전자,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,034730.KS,SK,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,006400.KS,삼성SDI,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,055550.KS,신한지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,035420.KS,NAVER,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,068270.KS,셀트리온,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,267260.KS,HD현대일렉트릭,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,010120.KS,LS ELECTRIC,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,042660.KS,한화오션,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,086790.KS,하나금융지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,298040.KS,효성중공업,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,006800.KS,미래에셋증권,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,005490.KS,POSCO홀딩스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000810.KS,삼성화재,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000150.KS,두산,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,042700.KS,한미반도체,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,011070.KS,LG이노텍,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,010130.KS,고려아연,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,009540.KS,HD한국조선해양,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,010140.KS,삼성중공업,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,015760.KS,한국전력,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,051910.KS,LG화학,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,017670.KS,SK텔레콤,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,307950.KS,현대오토에버,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,316140.KS,우리금융지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,267250.KS,HD현대,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,064350.KS,현대로템,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,018260.KS,삼성에스디에스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,003550.KS,LG,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,096770.KS,SK이노베이션,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,003670.KS,포스코퓨처엠,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,011200.KS,HMM,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,035720.KS,카카오,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,272210.KS,한화시스템,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,033780.KS,KT&G,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,138040.KS,메리츠금융지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,024110.KS,기업은행,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,079550.KS,LIG디펜스앤에어로스페이스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,086280.KS,현대글로비스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,000720.KS,현대건설,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,278470.KS,에이피알,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,071050.KS,한국금융지주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,047810.KS,한국항공우주,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,006260.KS,LS,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,030200.KS,KT,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,010950.KS,S-Oil,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,064400.KS,LG씨엔에스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,259960.KS,크래프톤,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,005940.KS,NH투자증권,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,016360.KS,삼성증권,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,323410.KS,카카오뱅크,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,047050.KS,포스코인터내셔널,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,454910.KS,두산로보틱스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,443060.KS,HD현대마린솔루션,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,007660.KS,이수페타시스,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,039490.KS,키움증권,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,028050.KS,삼성E&A,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,047040.KS,대우건설,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,005830.KS,DB손해보험,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,003490.KS,대한항공,KOSPI,Naver Finance KPI200,2026-06-04
KOSPI200,352820.KS,하이브,KOSPI,Naver Finance KPI200,2026-06-04
