universe,symbol,name,market,source,as_of
NASDAQ100,ADBE,Adobe Inc.,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,AMD,Advanced Micro Devices,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ABNB,Airbnb,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ALNY,Alnylam Pharmaceuticals,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,GOOGL,Alphabet Inc. (Class A),NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,GOOG,Alphabet Inc. (Class C),NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,AMZN,Amazon,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,AEP,American Electric Power,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,AMGN,Amgen,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ADI,Analog Devices,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,AAPL,Apple Inc.,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,AMAT,Applied Materials,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,APP,AppLovin,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ARM,Arm Holdings,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ASML,ASML Holding,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ADSK,Autodesk,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ADP,Automatic Data Processing,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,AXON,Axon Enterprise,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,BKR,Baker Hughes,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,BKNG,Booking Holdings,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,AVGO,Broadcom,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CDNS,Cadence Design Systems,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CHTR,Charter Communications,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CTAS,Cintas,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CSCO,Cisco,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CCEP,Coca-Cola Europacific Partners,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CTSH,Cognizant,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CMCSA,Comcast,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CEG,Constellation Energy,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CPRT,Copart,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,COST,Costco,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CRWD,CrowdStrike,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,CSX,CSX Corporation,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,DDOG,Datadog,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,DXCM,DexCom,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,FANG,Diamondback Energy,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,DASH,DoorDash,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,EA,Electronic Arts,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,EXC,Exelon,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,FAST,Fastenal,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,FER,Ferrovial,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,FTNT,Fortinet,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,GEHC,GE HealthCare,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,GILD,Gilead Sciences,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,HON,Honeywell,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,IDXX,Idexx Laboratories,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,INSM,Insmed Incorporated,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,INTC,Intel,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,INTU,Intuit,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,ISRG,Intuitive Surgical,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
NASDAQ100,KDP,Keurig Dr Pepper,NASDAQ,https://en.wikipedia.org/wiki/Nasdaq-100,2026-06-04
